scene_id,scene_label,scene_name,terrain_class,method,method_label,method_family,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,coverage_delta_vs_fixed_pp,excess_overlap_pct,overlap_cleanup_vs_fixed_pp,score,feasible_C97_O3,planning_time_s,heading_policy,spacing_policy,swath_quantile,swath_ref_m,spacing_m
gebco_hawaii_ridge_moderate,GEBCO Hawaii,GEBCO Hawaii Ridge,ridge_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,90.0,134,30036.901200573,0.34952289416557386,97.86666666666667,-0.9444444444444429,0.22567574799680976,0.4221428486117367,30037.57822781699,1,0.15006675000768155,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
gebco_hawaii_ridge_moderate,GEBCO Hawaii,GEBCO Hawaii Ridge,ridge_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,145,29936.79408303439,0.6816384462259838,98.19444444444444,-0.6166666666666742,0.0,0.6478185966085465,29936.79408303439,1,2.675321416987572,Deterministic terrain-aware adaptive-spacing baseline.,,,,
gebco_hawaii_ridge_moderate,GEBCO Hawaii,GEBCO Hawaii Ridge,ridge_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,0.0,145,29936.79408303439,0.6816384462259838,98.19444444444444,-0.6166666666666742,0.0,0.6478185966085465,29936.79408303439,1,2.6699852920137346,Representative seed-0 local GA cleanup from the adaptive base.,,,,
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Fixed-Spacing,Fixed,paper_reference,0,0.0,6,51.93,0.0,100.0,0.0,1.6333333333333329,0.0,56.83,1,0.017720249976264313,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,5,51.96,-0.05777007510109982,99.25,-0.75,8.555555555555554,-6.922222222222221,77.62666666666667,0,0.0474675000004936,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,155.0,8,56.88687382143803,-9.54529909770466,99.99444444444444,-0.005555555555559977,4.716582184830246,-3.083248851496913,71.03662037592876,0,0.001082959002815187,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,0.0,6,51.93,0.0,100.0,0.0,1.6333333333333329,0.0,56.83,1,0.12995783300721087,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,6,52.11,-0.34662045060658525,100.0,0.0,0.0,1.6333333333333329,52.11,1,0.8284118330047932,Deterministic terrain-aware adaptive-spacing baseline.,,,,
usgs_southern_cascadia_30m_low,USGS Low,Usgs Cascadia 30 M Low,usgs_cascadia_low,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,0.0,6,52.00652797081012,-0.14736755403450602,99.33333333333333,-0.6666666666666714,0.0,1.6333333333333329,52.00652797081012,1,0.2649547919863835,Representative seed-0 local GA cleanup from the adaptive base.,,,,
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Fixed-Spacing,Fixed,paper_reference,0,0.0,6,51.93,0.0,100.0,0.0,1.6333333333333329,0.0,56.83,1,0.019596792000811547,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
