evidence_block,scene_id,scene_name,scene_group,terrain_class,method,seed,n_segments,path_length_km,path_without_transition_km,boundary_transition_km,heading_turn_transition_km_at_base_radius,base_min_turn_radius_m,coverage_pct,excess_overlap_pct,line_count,feasible,radius_m,line_change_count,line_change_turn_arc_km,heading_turn_arc_km,total_turn_arc_km,vehicle_length_km,turn_arc_fraction_pct,mission_time_h,vehicle_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,12,1,201.42082963271525,201.42082963271525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.38432504120888,0.9654113747929125,38.02737415735231,3.5646915447143144,3.5673906342075874
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,12,1,201.42082963271525,201.42082963271525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.34782044970248,1.912360602799342,38.75459467901662,3.5673906342076025,3.572636437710095
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,12,1,201.42082963271525,201.42082963271525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.27481126668974,3.752951244555536,40.209035722345234,3.572636437710102,3.5825572306248894
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,13,1,201.421135017561,201.421135017561,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.38463042605463,0.9654099252143326,38.02743071010152,3.5645467455426427,3.5672472235910595
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,13,1,201.421135017561,201.421135017561,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.34812583454823,1.9123577588194163,38.75465123176583,3.567247223591062,3.572495725813779
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,13,1,201.421135017561,201.421135017561,0.0,0.0,0.0,99.33333333333331,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.27511665153548,3.7529457680590697,40.209092275094434,3.5724957258137735,3.5824216225119
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,14,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4049545270949,0.9653134620337234,38.031194432516386,3.554910010005142,3.5577028997602236
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,14,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3684499355885,1.9121685040807863,38.7584149541807,3.55770289976023,3.563131008348598
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,14,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.29544075257576,3.7525813298815613,40.21285599750931,3.563131008348614,3.5733965741859026
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,15,1,201.43359916579348,201.43359916579348,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.3970945742871,0.965350765016208,38.02973888570013,3.5586368310043013,3.5613939823199923
