evidence_block,scene_id,scene_name,scene_group,terrain_class,method,n_segments,radius_m,n_runs,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,vehicle_length_km_mean,vehicle_length_km_std,vehicle_length_km_min,vehicle_length_km_max,mission_time_h_mean,mission_time_h_std,mission_time_h_min,mission_time_h_max,vehicle_length_gain_vs_fixed_pct_mean,vehicle_length_gain_vs_fixed_pct_std,vehicle_length_gain_vs_fixed_pct_min,vehicle_length_gain_vs_fixed_pct_max,mission_time_gain_vs_fixed_pct_mean,mission_time_gain_vs_fixed_pct_std,mission_time_gain_vs_fixed_pct_min,mission_time_gain_vs_fixed_pct_max,turn_arc_fraction_pct_mean,turn_arc_fraction_pct_std,turn_arc_fraction_pct_min,turn_arc_fraction_pct_max,line_count_mean,line_count_std,line_count_min,line_count_max,line_change_count_mean,line_change_count_std,line_change_count_min,line_change_count_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,feasible_mean,feasible_std,feasible_min,feasible_max
segmented_diagnostic,gebco_puerto_rico_trench_complex,GEBCO Puerto Rico Trench,public,complex_relief,Full Geometry-Aware Hybrid GA,1,100.0,30,30709.656553550838,0.07044330783203423,30709.526696572655,30709.76,30752.38221363966,0.07044330783203423,30752.252356661476,30752.48566008882,5702.797754394163,0.0130450570059798,5702.773706805609,5702.8169111440075,0.5014574596064977,0.00022791751261192454,0.5011227612780581,0.5018776085230318,0.5098540948291302,0.00022758208878621082,0.5095198890727278,0.510273625416901,0.1389344727579762,3.182520394025215e-07,0.1389340054038994,0.13893505943334936,137.0,0.0,137,137,136.0,0.0,136,136,98.08407407407408,0.5577423118682447,97.71666666666668,99.40555555555557,0.2736649769643161,0.1899791245561311,0.0,0.8000276269637797,1.0,0.0,1,1
segmented_diagnostic,gebco_puerto_rico_trench_complex,GEBCO Puerto Rico Trench,public,complex_relief,Transition-Aware Segmented Hybrid,1,25.0,30,30709.656553550838,0.07044330783203423,30709.526696572655,30709.76,30720.337968573043,0.07044330783203423,30720.20811159486,30720.441415022204,5690.929515480602,0.013045057005783574,5690.905467892049,5690.948672230446,0.4951437224324803,0.00022816973005719728,0.49480865372110544,0.49556433629304236,0.4972498535602352,0.00022808559557304192,0.4969149084008928,0.49767031232516856,0.03476984866893944,7.972908008385323e-08,0.034769731586545886,0.034769995643921976,137.0,0.0,137,137,136.0,0.0,136,136,98.08407407407408,0.5577423118682447,97.71666666666668,99.40555555555557,0.2736649769643161,0.1899791245561311,0.0,0.8000276269637797,1.0,0.0,1,1
segmented_diagnostic,gebco_puerto_rico_trench_complex,GEBCO Puerto Rico Trench,public,complex_relief,Transition-Aware Segmented Hybrid,1,50.0,30,30709.656553550838,0.07044330783203423,30709.526696572655,30709.76,30731.01938359525,0.07044330783203423,30730.889526617066,30731.12283004441,5694.885595118455,0.01304505700604717,5694.861547529902,5694.9047518683,0.4972498535602613,0.00022808559557427796,0.496914908400914,0.49767031232518616,0.5014574596065033,0.00022791751261387464,0.5011227612780587,0.5018776085230517,0.06951552689437615,1.593473312279157e-07,0.0695152928923415,0.06951582064003557,137.0,0.0,137,137,136.0,0.0,136,136,98.08407407407408,0.5577423118682447,97.71666666666668,99.40555555555557,0.2736649769643161,0.1899791245561311,0.0,0.8000276269637797,1.0,0.0,1,1
segmented_diagnostic,gebco_puerto_rico_trench_complex,GEBCO Puerto Rico Trench,public,complex_relief,Transition-Aware Segmented Hybrid,1,100.0,30,30709.656553550838,0.07044330783203423,30709.526696572655,30709.76,30752.38221363966,0.07044330783203423,30752.252356661476,30752.48566008882,5702.797754394163,0.0130450570059798,5702.773706805609,5702.8169111440075,0.5014574596064977,0.00022791751261192454,0.5011227612780581,0.5018776085230318,0.5098540948291302,0.00022758208878621082,0.5095198890727278,0.510273625416901,0.1389344727579762,3.182520394025215e-07,0.1389340054038994,0.13893505943334936,137.0,0.0,137,137,136.0,0.0,136,136,98.08407407407408,0.5577423118682447,97.71666666666668,99.40555555555557,0.2736649769643161,0.1899791245561311,0.0,0.8000276269637797,1.0,0.0,1,1
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Coverage-Preserving Segmented Hybrid,4,25.0,30,265.33660726531036,0.06472163708483422,265.20041747386966,265.4758884463801,272.6015402767367,0.06472163708483605,272.465350485296,272.7408214578065,51.894998598348515,0.011985488349044653,51.86977826660023,51.920791409657724,21.17512621502717,0.01871476906986628,21.134851968934143,21.21450656155866,19.770135123291997,0.01852961049613946,19.730259339073474,19.809125851935644,2.799489893727519,0.0006646729056681085,2.7980601193304704,2.8008890454337045,100.0,0.0,100,100,96.0,0.0,96,96,97.17611111111111,0.07960564253048101,97.01666666666668,97.33333333333331,1.3916902244452254,0.01735325213529143,1.3516066834227294,1.424088334200297,1.0,0.0,1,1
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Coverage-Preserving Segmented Hybrid,4,50.0,30,265.33660726531036,0.06472163708483422,265.20041747386966,265.4758884463801,280.2329924310819,0.06472163708483897,280.0968026396413,280.37227361215173,54.72146235921711,0.011985488349044246,54.696242027468834,54.74725517052632,19.770135123291986,0.01852961049614038,19.73025933907345,19.80912585193561,17.04193810243967,0.018170071512443927,17.002836047325427,17.08017227513988,5.446505410834987,0.0012579281499081366,5.443799457076163,5.449153351574281,100.0,0.0,100,100,96.0,0.0,96,96,97.17611111111111,0.07960564253048101,97.01666666666668,97.33333333333331,1.3916902244452254,0.01735325213529143,1.3516066834227294,1.424088334200297,1.0,0.0,1,1
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Coverage-Preserving Segmented Hybrid,4,100.0,30,265.33660726531036,0.06472163708483422,265.20041747386966,265.4758884463801,295.4958967397724,0.06472163708483991,295.3597069483317,295.6351779208421,60.37438988095429,0.011985488349045363,60.34916954920601,60.40018269226351,17.04193810243966,0.018170071512443795,17.002836047325427,17.080172275139876,11.891297832809364,0.017491287702560546,11.85365652274098,11.928103682159543,10.330366807050853,0.002262669119988637,10.325499432125858,10.33512963998194,100.0,0.0,100,100,96.0,0.0,96,96,97.17611111111111,0.07960564253048101,97.01666666666668,97.33333333333331,1.3916902244452254,0.01735325213529143,1.3516066834227294,1.424088334200297,1.0,0.0,1,1
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Fixed-Spacing,1,25.0,1,342.37612472999996,,342.37612472999996,342.37612472999996,345.8318766489487,,345.8318766489487,345.8318766489487,64.6828941792403,,64.6828941792403,64.6828941792403,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9992577758980499,,0.9992577758980499,0.9992577758980499,45.0,,45,45,44.0,,44,44,96.1888888888889,,96.1888888888889,96.1888888888889,28.497640907255647,,28.497640907255647,28.497640907255647,0.0,,0,0
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Fixed-Spacing,1,50.0,1,342.37612472999996,,342.37612472999996,342.37612472999996,349.2876285678975,,349.2876285678975,349.2876285678975,65.96280229736946,,65.96280229736946,65.96280229736946,0.0,,0.0,0.0,0.0,,0.0,0.0,1.9787428103981721,,1.9787428103981721,1.9787428103981721,45.0,,45,45,44.0,,44,44,96.1888888888889,,96.1888888888889,96.1888888888889,28.497640907255647,,28.497640907255647,28.497640907255647,0.0,,0,0
segmented_diagnostic,synthetic_complex,Complex Terrain,synthetic,complex_relief,Fixed-Spacing,1,100.0,1,342.37612472999996,,342.37612472999996,342.37612472999996,356.19913240579507,,356.19913240579507,356.19913240579507,68.5226185336278,,68.5226185336278,68.5226185336278,0.0,,0.0,0.0,0.0,,0.0,0.0,3.8806966155233114,,3.8806966155233114,3.8806966155233114,45.0,,45,45,44.0,,44,44,96.1888888888889,,96.1888888888889,96.1888888888889,28.497640907255647,,28.497640907255647,28.497640907255647,0.0,,0,0
