scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,cross_feasible_rate,cross_coverage_p05,cross_overlap_p95,adverse_feasible_rate,adverse_coverage_p05,adverse_overlap_p95,selection_score
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.2,0.3,1,0.0,77,7061.587073401589,99.33333333333333,0.0,1.0,98.73,1.8201967494364735,0.8125,98.02777777777779,4.227681147839654,216.59499487285228
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.2,0.34,1,0.0,77,7061.587073401589,99.33333333333333,0.0,1.0,98.73,1.8201967494364735,0.8125,98.02777777777779,4.227681147839654,216.59499487285228
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.25,0.18,0,0.0,82,7512.9351950510445,99.33333333333333,4.999999999999999,0.05,98.73,5.97557092178649,0.1375,98.25138888888888,7.768825171670978,862.2388368248303
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.25,0.22,0,0.0,82,7512.9351950510445,99.33333333333333,4.999999999999999,0.05,98.73,5.97557092178649,0.1375,98.25138888888888,7.768825171670978,862.2388368248303
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.25,0.26,0,0.0,82,7512.9351950510445,99.33333333333333,4.999999999999999,0.05,98.73,5.97557092178649,0.1375,98.25138888888888,7.768825171670978,862.2388368248303
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.25,0.3,0,0.0,82,7512.9351950510445,99.33333333333333,4.999999999999999,0.05,98.73,5.97557092178649,0.1375,98.25138888888888,7.768825171670978,862.2388368248303
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.25,0.34,0,0.0,82,7512.9351950510445,99.33333333333333,4.999999999999999,0.05,98.73,5.97557092178649,0.1375,98.25138888888888,7.768825171670978,862.2388368248303
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.3,0.18,0,90.0,71,7991.920000000063,99.16666666666667,10.000000000000002,0.0,98.18833333333335,10.821653323126016,0.0125,96.76972222222223,11.918248837793515,1344.9638500043663
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.3,0.22,0,90.0,71,7991.920000000063,99.16666666666667,10.000000000000002,0.0,98.18833333333335,10.821653323126016,0.0125,96.76972222222223,11.918248837793515,1344.9638500043663
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.3,0.26,0,90.0,71,7991.920000000063,99.16666666666667,10.000000000000002,0.0,98.18833333333335,10.821653323126016,0.0125,96.76972222222223,11.918248837793515,1344.9638500043663
