coverage_penalty_weight,overlap_penalty_weight,scene_id,scene_name,method,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max,feasible_mean,feasible_std,feasible_min,feasible_max
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.605494749785,0.032434725626505,6656.547473748718,6656.620000000051,0.6553387464032849,0.0004840630607837037,0.6551222668214232,0.6562046647307321,99.83333333333334,0.37267799624996284,99.16666666666667,100.0,0.0015369488665715378,0.0034367221435952127,0.0,0.007684744332857689,0.3062904418096878,0.0033039143952661915,0.3025752080138773,0.31054216701886617,1.0,0.0,1.0,1.0
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,0.0,0.8471518196551509,0.8471518196551509,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.7321014160115737,0.0,0.7321014160115737,0.7321014160115737,1.0,0.0,1.0,1.0
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.70891059631,0.0,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.05491550001897849,0.0,0.05491550001897849,0.05491550001897849,1.0,0.0,1.0,1.0
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.190572346619,0.03283112912029845,15038.151353299834,15038.223860078393,0.8473712985939924,0.00021646838027829945,0.8471518196551509,0.847629884995405,99.06666666666666,0.36514837167010555,98.66666666666667,99.33333333333333,0.03484345983319574,0.05020428527943459,0.0,0.12063838321477975,0.6707250414125155,0.014439410204511708,0.6587962080084253,0.693105958023807,1.0,0.0,1.0,1.0
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000051,0.0,6656.620000000051,6656.620000000051,0.6551222668214232,0.0,0.6551222668214232,0.6551222668214232,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5774713749997318,0.0,0.5774713749997318,0.5774713749997318,1.0,0.0,1.0,1.0
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082025,0.0,6700.516576082025,6700.516576082025,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.03719862501020543,0.0,0.03719862501020543,0.03719862501020543,1.0,0.0,1.0,1.0
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.618160031665,0.004114294388874086,6656.610800158118,6656.620000000051,0.6551497269189499,6.140264473872151e-05,0.6551222668214232,0.6552595673090572,99.83333333333334,0.37267799624996284,99.16666666666667,100.0,0.0412208566739823,0.09217263761380032,0.0,0.2061042833699115,0.3044671082054265,0.0030926725038798258,0.2994330830115359,0.3070350000052713,1.0,0.0,1.0,1.0
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,0.0,0.8471518196551509,0.8471518196551509,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.7385049170115963,0.0,0.7385049170115963,0.7385049170115963,1.0,0.0,1.0,1.0
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.70891059631,0.0,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.05099554097978398,0.0,0.05099554097978398,0.05099554097978398,1.0,0.0,1.0,1.0
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.155347306214,0.05260029551278794,15038.087328132076,15038.223860078393,0.8476035509607478,0.00034681416926278866,0.8471518196551509,0.848052027782843,98.93333333333334,0.36514837167010555,98.66666666666667,99.33333333333333,0.08537854526552743,0.07098375431616,0.0,0.15191273683398185,0.6995534165936987,0.06943780227104435,0.6384107079938985,0.8148719170130789,1.0,0.0,1.0,1.0
