beam_angle_deg,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible,planning_depth_bias_m
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8741487840015907,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,116,15037.952874807275,0.8489385307520815,98.66666666666667,0.032189008120580155,0.8763771099911537,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,6,0.0,116,15038.185303017603,0.8474060413260802,98.66666666666667,0.11202583806354253,0.8762683469976764,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,7,0.0,116,15038.11833208849,0.8478476066617582,98.66666666666667,0.4793535101948629,0.8760430599941174,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,8,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8746036340016872,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,9,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8774519550061086,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,10,0.0,116,15038.15656699938,0.847595509050372,98.66666666666667,0.12414591715352193,0.8762311280006543,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,11,0.0,116,15038.138430800414,0.8477150880511439,98.66666666666667,0.27074978347474526,0.8769207220029784,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,12,0.0,116,15038.186954711995,0.8473951510637158,99.33333333333333,0.15391068844486547,0.8755212030082475,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,13,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8781501080084126,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,14,0.0,116,15038.032532372623,0.8484133174983879,98.66666666666667,0.22994991474349066,0.8750830379867693,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,15,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8771013100049458,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,16,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8782689320069039,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,17,0.0,116,15038.195937012899,0.8473359272666691,99.33333333333333,0.07733462461178231,0.8762351379991742,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,18,0.0,116,15038.038175310932,0.8483761114153632,98.66666666666667,0.28774862639890336,0.8774211830022978,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,19,0.0,116,15038.152762763526,0.8476205918542694,98.66666666666667,0.07262029135951134,0.8773354040022241,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082014,0.0,99.33333333333333,0.8148148148148147,0.05523369400179945,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,1.1041356200003065,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5414393460087012,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5390173390042037,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5522050199942896,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.540085435990477,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748714,0.6562046647306382,99.16666666666667,0.007684744332857689,0.5401262080122251,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,59,6656.486502297001,0.6571146162399114,100.0,0.12672119973036985,0.5417982530052541,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,6,90.0,59,6656.5778427912,0.655751430384579,100.0,0.1285949962071297,0.5404700600047363,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,7,90.0,59,6656.6130217998125,0.6552264110340111,99.16666666666667,0.010865618508658546,0.5667400620004628,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,8,90.0,59,6656.570548383389,0.6558602937494886,99.16666666666667,0.11610392836292133,0.6631597660016268,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,9,90.0,59,6656.531270035214,0.6564464925556371,99.16666666666667,0.19888171260447932,0.5826242039911449,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,10,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5394147610059008,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,11,90.0,59,6656.60501858916,0.6553458527302096,99.16666666666667,0.020773690686440117,0.5397624009929132,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,12,90.0,59,6656.612269000872,0.655237645972863,99.16666666666667,0.1539267079611943,0.539475465004216,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,13,90.0,59,6656.600344672867,0.6554156072967354,100.0,0.18360107655312105,0.5441764040006092,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,14,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5378194079967216,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,15,90.0,59,6656.512620779904,0.6567248181906612,99.16666666666667,0.08986579629008863,0.5398607620008988,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,16,90.0,59,6656.457284226263,0.6575506732275433,99.16666666666667,0.1706374865906995,0.5399049260013271,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,17,90.0,59,6656.584803088311,0.6556475533620886,100.0,0.023072209947898787,0.5394537880056305,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,18,90.0,59,6656.4812904635055,0.6571923988024351,99.16666666666667,0.4644609658001306,0.5391376059997128,1,0.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,19,90.0,59,6656.588120938868,0.6555980370222713,100.0,0.002071706937115577,0.5389720910025062,1,0.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.708910596337,0.0,100.0,0.7985185185185184,0.10523771500447765,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,1.3848305440042168,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.15135329986,0.8476298849954156,99.33333333333333,0.01775494400183867,0.8711253660003422,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.1321290773,0.8477566377581516,98.66666666666667,0.09615307101296582,0.873536643004627,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415415,0.8473984035595818,98.66666666666667,0.12063838321477975,0.8716020619904157,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861114,0.8475245651046707,98.66666666666667,0.0358239719493603,0.8736372729908908,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8730504550039768,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,116,15037.952874807275,0.8489385307520815,98.66666666666667,0.032189008120580155,1.7029174130002502,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,6,0.0,116,15038.185303017603,0.8474060413260802,98.66666666666667,0.11202583806354253,1.4814410410035634,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,7,0.0,116,15038.11833208849,0.8478476066617582,98.66666666666667,0.4793535101948629,1.3347263299947372,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,8,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.9667698789999122,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,9,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8756088029913371,1,150.0
