scene_id,scene_label,terrain_class,method,method_label,method_family,radius_m,line_count,line_change_count,geometric_length_km,turn_arc_km,effective_length_km,turn_arc_share_pct,mission_time_h,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,feasible_C97_O3,effective_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,100.0,94,93,15065.836708169189,29.216811678385074,15095.053519847574,0.19355222318337365,2800.790802134437,0.6650895920910439,100.0,0.09344585755555554,1,0.7110227530480497,0.7567362338646004
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,200.0,94,93,15065.836708169189,58.43362335677015,15124.270331525959,0.3863566444919165,2811.6118434968016,0.6650895920910439,100.0,0.09344585755555554,1,0.7567362338646153,0.8475104289303222
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Adaptive Spacing w/o GA,Adaptive,paper_reference,25.0,116,115,15038.223860078393,9.032078879070655,15047.255938957464,0.060024757442229265,2788.201484784543,0.8471518196551509,99.33333333333333,0.0,1,0.8471607749822623,0.8471697195633793
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Adaptive Spacing w/o GA,Adaptive,paper_reference,50.0,116,115,15038.223860078393,18.06415775814131,15056.288017836534,0.11997749868188946,2791.546699184199,0.8471518196551509,99.33333333333333,0.0,1,0.8471697195633695,0.847187576564885
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Adaptive Spacing w/o GA,Adaptive,paper_reference,100.0,116,115,15038.223860078393,36.12831551628262,15074.352175594675,0.23966745035169232,2798.2371279835106,0.8471518196551509,99.33333333333333,0.0,1,0.8471875765648951,0.8472231624634822
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Adaptive Spacing w/o GA,Adaptive,paper_reference,200.0,116,115,15038.223860078393,72.25663103256524,15110.480491110959,0.478188837708183,2811.6179855821338,0.8471518196551509,99.33333333333333,0.0,1,0.8472231624634832,0.8472938261111066
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Hybrid GA Seed-0,Hybrid s0,paper_reference,25.0,116,115,15038.151353299834,9.032078879070655,15047.183432178905,0.06002504667920278,2788.1880576033286,0.847629884995405,99.33333333333333,0.017754944001838673,1,0.8476385533218034,0.8476472112465888
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Hybrid GA Seed-0,Hybrid s0,paper_reference,50.0,116,115,15038.151353299834,18.06415775814131,15056.215511057975,0.11997807646200444,2791.5332720029846,0.847629884995405,99.33333333333333,0.017754944001838673,1,0.8476472112465857,0.8476644959661319
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Hybrid GA Seed-0,Hybrid s0,paper_reference,100.0,116,115,15038.151353299834,36.12831551628262,15074.279668816116,0.23966860314407326,2798.223700802296,0.847629884995405,99.33333333333333,0.017754944001838673,1,0.8476644959661486,0.8476989414063014
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Hybrid GA Seed-0,Hybrid s0,paper_reference,200.0,116,115,15038.151353299834,72.25663103256524,15110.4079843324,0.47819113228104965,2811.6045584009194,0.847629884995405,99.33333333333333,0.017754944001838673,1,0.847698941406309,0.8477673404222695
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Fixed-Spacing,Fixed,paper_reference,25.0,73,72,6700.516576082025,5.654866776461628,6706.171442858486,0.08432332553149367,1242.9307980805459,0.0,99.33333333333333,0.8148148148148147,1,0.0,0.0
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Fixed-Spacing,Fixed,paper_reference,50.0,73,72,6700.516576082025,11.309733552923255,6711.826309634947,0.16850456241228903,1245.0251931829391,0.0,99.33333333333333,0.8148148148148147,1,0.0,0.0
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Fixed-Spacing,Fixed,paper_reference,100.0,73,72,6700.516576082025,22.61946710584651,6723.136043187871,0.3364422043603504,1249.2139833877256,0.0,99.33333333333333,0.8148148148148147,1,0.0,0.0
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Fixed-Spacing,Fixed,paper_reference,200.0,73,72,6700.516576082025,45.23893421169302,6745.755510293718,0.6706281326481586,1257.5915637972985,0.0,99.33333333333333,0.8148148148148147,1,0.0,0.0
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,25.0,59,58,6656.3676243300515,4.5553093477052,6660.922933677757,0.06838856106071227,1234.347822782493,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.6747293827227641,0.6905432958381494
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,50.0,59,58,6656.3676243300515,9.1106186954104,6665.478243025462,0.1366836461426223,1236.0349743927543,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.6905432958381555,0.7220913150521155
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,100.0,59,58,6656.3676243300515,18.2212373908208,6674.588861720872,0.2729941539219079,1239.4092776132766,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.7220913150521303,0.7848699986418527
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Min-Span Boustrophedon,Min-span,external_heuristic,200.0,59,58,6656.3676243300515,36.4424747816416,6692.8100991116935,0.5445018496263392,1246.1578840543214,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.7848699986418399,0.909172745120293
