crop_label,target_prior_cell_m,actual_prior_cell_m,fine_grid_resolution_m,prior_grid_ny,prior_grid_nx,method,method_label,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,planned_path_length_km_mean,planned_path_length_km_std,planned_path_length_km_min,planned_path_length_km_max,replay_path_length_km_mean,replay_path_length_km_std,replay_path_length_km_min,replay_path_length_km_max,path_gain_vs_fixed_replay_pct_mean,path_gain_vs_fixed_replay_pct_std,path_gain_vs_fixed_replay_pct_min,path_gain_vs_fixed_replay_pct_max,planned_coverage_pct_mean,planned_coverage_pct_std,planned_coverage_pct_min,planned_coverage_pct_max,replay_coverage_pct_mean,replay_coverage_pct_std,replay_coverage_pct_min,replay_coverage_pct_max,coverage_loss_pp_mean,coverage_loss_pp_std,coverage_loss_pp_min,coverage_loss_pp_max,planned_excess_overlap_pct_mean,planned_excess_overlap_pct_std,planned_excess_overlap_pct_min,planned_excess_overlap_pct_max,replay_excess_overlap_pct_mean,replay_excess_overlap_pct_std,replay_excess_overlap_pct_min,replay_excess_overlap_pct_max,overlap_increase_pp_mean,overlap_increase_pp_std,overlap_increase_pp_min,overlap_increase_pp_max,planned_feasible_mean,planned_feasible_std,planned_feasible_min,planned_feasible_max,replay_feasible_mean,replay_feasible_std,replay_feasible_min,replay_feasible_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max
low,120.0,120.3896103896104,31.004,78,63,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,1.6666666666666665,1.6666666666666665,1.6333333333333329,0.0,1.6333333333333329,1.6333333333333329,-0.03333333333333366,0.0,-0.03333333333333366,-0.03333333333333366,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0033831250038929284,0.0,0.0033831250038929284,0.0033831250038929284
low,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,-0.20191619286246337,0.07996646015218764,-0.28368316022274886,-0.07514065342829614,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.06842755819670857,0.0182089014658056,0.05110374998184852,0.09578791697276756
low,300.0,299.03225806451616,31.004,32,26,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.29151691700099036,0.0,0.29151691700099036,0.29151691700099036
low,300.0,299.03225806451616,31.004,32,26,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.7187499999999998,0.0,1.7187499999999998,1.7187499999999998,1.6333333333333329,0.0,1.6333333333333329,1.6333333333333329,-0.08541666666666692,0.0,-0.08541666666666692,-0.08541666666666692,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0035703330067917705,0.0,0.0035703330067917705,0.0035703330067917705
low,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,-0.20191619286246337,0.07996646015218764,-0.28368316022274886,-0.07514065342829614,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.04941181659232825,0.008957708508234226,0.03419166701496579,0.057658374978927895
low,600.0,618.0,31.004,16,13,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4377554999955464,0.0,0.4377554999955464,0.4377554999955464
low,600.0,618.0,31.004,16,13,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.5624999999999998,0.0,1.5624999999999998,1.5624999999999998,1.6333333333333329,0.0,1.6333333333333329,1.6333333333333329,0.07083333333333308,0.0,0.07083333333333308,0.07083333333333308,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0008887500152923167,0.0,0.0008887500152923167,0.0008887500152923167
low,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.04480921254682,0.0251990849359797,52.01643257735724,52.07731666510367,52.04480921254682,0.0251990849359797,52.01643257735724,52.07731666510367,-0.22108456103759103,0.04852510097434952,-0.28368316022274886,-0.16644054950364565,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0533595829969272,0.019188951841945984,0.031966415990609676,0.0693271670024842
medium,120.0,120.3896103896104,31.004,78,63,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.40283854099106975,0.0,0.40283854099106975,0.40283854099106975
medium,120.0,120.3896103896104,31.004,78,63,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,1.6666666666666665,0.0,1.6666666666666665,1.6666666666666665,1.6311805555555552,0.0,1.6311805555555552,1.6311805555555552,-0.03548611111111133,0.0,-0.03548611111111133,-0.03548611111111133,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004833999992115423,0.0,0.004833999992115423,0.004833999992115423
medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,-0.20191619286246337,0.07996646015218764,-0.28368316022274886,-0.07514065342829614,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08745614160434342,0.011741467946673885,0.07220179098658264,0.09897004201775417
medium,300.0,299.03225806451616,31.004,32,26,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.40369337500305846,0.0,0.40369337500305846,0.40369337500305846
medium,300.0,299.03225806451616,31.004,32,26,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,1.7187499999999998,0.0,1.7187499999999998,1.7187499999999998,1.6311805555555552,0.0,1.6311805555555552,1.6311805555555552,-0.08756944444444459,0.0,-0.08756944444444459,-0.08756944444444459,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0012592499842867255,0.0,0.0012592499842867255,0.0012592499842867255
medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,52.03485507895348,0.041526582757031034,51.969020541325314,52.07731666510367,-0.20191619286246337,0.07996646015218764,-0.28368316022274886,-0.07514065342829614,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.05083517500315793,0.013248431898491788,0.03762025001924485,0.06988087500212714
medium,600.0,618.0,31.004,16,13,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.33039012498920783,0.0,0.33039012498920783,0.33039012498920783
medium,600.0,618.0,31.004,16,13,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,51.93,0.0,51.93,51.93,51.93,0.0,51.93,51.93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,1.5624999999999998,0.0,1.5624999999999998,1.5624999999999998,1.6311805555555552,0.0,1.6311805555555552,1.6311805555555552,0.06868055555555541,0.0,0.06868055555555541,0.06868055555555541,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0008922499837353826,0.0,0.0008922499837353826,0.0008922499837353826
medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.04480921254682,0.0251990849359797,52.01643257735724,52.07731666510367,52.04480921254682,0.0251990849359797,52.01643257735724,52.07731666510367,-0.22108456103759103,0.04852510097434952,-0.28368316022274886,-0.16644054950364565,100.0,0.0,100.0,100.0,99.93194444444444,0.0,99.93194444444444,99.93194444444444,0.06805555555555998,0.0,0.06805555555555998,0.06805555555555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.060164924996206536,0.011659946867127102,0.047091665997868404,0.07461354200495407
