crop_label,scene_id,target_prior_cell_m,actual_prior_cell_m,fine_grid_resolution_m,prior_grid_ny,prior_grid_nx,method,method_label,seed,orientation_deg,line_count,planned_path_length_km,replay_path_length_km,planned_coverage_pct,replay_coverage_pct,coverage_loss_pp,planned_excess_overlap_pct,replay_excess_overlap_pct,overlap_increase_pp,planned_feasible,replay_feasible,planning_time_s,path_gain_vs_fixed_replay_pct
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Fixed-Spacing,Fixed,0,0.0,12,97.222427184,97.222427184,96.98819698819699,96.0638888888889,0.9243080993080923,31.82279076942723,30.90942826483565,-0.9133625045915785,0,0,0.003360124974278733,0.0
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Adaptive Spacing w/o GA,Adaptive,0,135.0,12,72.36347126006473,72.36347126006473,98.77899877899878,97.91666666666666,0.8623321123321261,1.6074926295519312,1.5880653336078911,-0.019427295944040024,1,1,0.37798708298942074,25.569157903132805
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,0,135.0,12,71.80802499141551,71.80802499141551,98.77899877899878,97.90277777777779,0.8762210012209977,1.2318046545345924,1.226628279190315,-0.005176375344277506,1,1,0.0656813750101719,26.14047286073821
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,1,135.0,12,71.4306741095419,71.4306741095419,98.47374847374849,97.76805555555555,0.7056929181929377,1.470194101184025,1.3765158850316899,-0.09367821615233507,1,1,0.1598261659964919,26.528604378129206
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,2,135.0,12,71.92783239383189,71.92783239383189,98.94179894179894,98.13333333333333,0.8084656084656103,1.4282887047944988,1.341961799233672,-0.08632690556082667,1,1,0.08453716698568314,26.017242649472617
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,3,135.0,12,71.47398536381716,71.47398536381716,98.4940984940985,97.82777777777778,0.6663207163207119,1.2706846668573495,1.25717033633293,-0.013514330524419416,1,1,0.09552841700497083,26.48405575336252
high,usgs_southern_cascadia_30m_fine_high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,4,135.0,12,72.15679775536208,72.15679775536208,98.67724867724867,97.90138888888889,0.7758597883597815,1.3995683323659693,1.3561057044741145,-0.043462627891854844,1,1,0.10136645901366137,25.78173591696032
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Fixed-Spacing,Fixed,0,0.0,11,89.793246348,89.793246348,96.875,96.11111111111111,0.7638888888888857,24.75773883856154,24.395698211406536,-0.36204062715500385,0,0,0.001372250000713393,0.0
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Adaptive Spacing w/o GA,Adaptive,0,150.0,12,74.6665758855504,74.6665758855504,99.27884615384616,98.0625,1.2163461538461604,2.6011960986511693,2.3789310670882986,-0.2222650315628707,1,1,0.31551966699771583,16.84611157037928
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,0,150.0,12,74.22412706837243,74.22412706837243,99.15865384615384,98.13194444444444,1.0267094017093967,2.007544621761801,1.8064380904954265,-0.20110653126637446,1,1,0.07595208400744013,17.338853324545546
