scene_id,scene_name,scenario,scenario_label,method,method_label,seed,orientation_deg,line_count,prior_rmse_m,prior_mae_m,prior_abs_p95_m,planned_path_length_km,replay_path_length_km,path_gain_vs_truth_fixed_pct,planned_coverage_pct,replay_coverage_pct,coverage_loss_pp,truth_nominal_method_coverage_pct,planned_excess_overlap_pct,replay_excess_overlap_pct,overlap_increase_pp,truth_nominal_method_excess_overlap_pct,planned_feasible,replay_feasible,truth_nominal_method_feasible,planning_time_s
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,11,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.06044241599738598
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,11,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7593110000016168
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,11,0.0,116,0.0,0.0,0.0,15038.138430800387,15038.138430800387,0.8477150880511455,98.66666666666667,98.66666666666667,0.0,99.33333333333333,0.27074978347474526,0.27074978347474526,0.0,0.017754944001838673,1,1,1,0.8056785829830915
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,12,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.058216959005221725
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,12,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.756850165897049
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,12,0.0,116,0.0,0.0,0.0,15038.186954711968,15038.186954711968,0.8473951510637173,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.15391068844486552,0.15391068844486552,0.0,0.017754944001838673,1,1,1,0.7882027080049738
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,13,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.05992354196496308
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,13,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7685848749242723
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,13,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.017754944001838673,1,1,1,0.8084244170458987
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,14,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.0621842909604311
