scene_id,scene_label,seed,candidate_idx,orientation_deg,line_count,stride_score,full_score,stride_ga_fitness,full_ga_fitness,stride_coverage_pct,full_coverage_pct,stride_excess_overlap_pct,full_excess_overlap_pct,full_feasible_97_3,is_base_layout
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,4,0.0,116,15042.873859101988,15041.869470290983,15042.873859101988,15041.869470290983,98.0,98.66666666666667,1.6089178432018876,1.274121572867092,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,5,0.0,116,15040.548883788528,15041.474731266886,15040.548883788528,15041.474731266886,98.0,98.0,0.8235103340430644,1.1321261601626225,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,6,0.0,116,15044.68920087275,15045.709901582984,15044.68920087275,15045.709901582984,100.0,98.66666666666667,2.2088916099980005,2.549125180076103,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,7,0.0,116,15050.137499264838,15047.14015309174,15050.137499264838,15047.14015309174,100.0,98.0,3.987296744357604,2.9881813533247295,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,8,0.0,116,15129.035774235535,15046.807703019447,15129.035774235535,15046.807703019447,96.0,97.33333333333334,3.6521694653435848,2.909479059981385,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,9,0.0,116,15048.451829718688,15051.335180660408,15048.451829718688,15051.335180660408,100.0,98.0,3.269200557966848,4.230317538540508,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,10,0.0,116,15049.182843175646,15048.083815703945,15049.182843175646,15048.083815703945,98.0,97.33333333333334,3.6188556076438054,3.2525131170767545,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,11,0.0,116,15290.498135820526,15132.991120943223,15290.498135820526,15132.991120943223,94.0,96.0,4.163315058186652,4.994310099085759,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,0,0.0,116,15038.223860078393,15038.223860078393,15038.223860078393,15038.223860078393,100.0,99.33333333333333,0.0,0.0,1,1
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,1,0.0,116,15039.034407978916,15038.745425177445,15039.034407978916,15038.745425177445,98.0,98.66666666666667,0.28941215190682135,0.19308455141691638,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,2,0.0,116,15039.08621512826,15039.093137534195,15039.08621512826,15039.093137534195,100.0,99.33333333333333,0.2776706343908569,0.27997810303586484,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,3,0.0,116,15040.196006136104,15040.61805497003,15040.196006136104,15040.61805497003,100.0,99.33333333333333,0.6476620823530127,0.7883450269944272,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,4,0.0,116,15042.813079918926,15041.38735573569,15042.813079918926,15041.38735573569,100.0,99.33333333333333,1.50408447121156,1.0288430767996979,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,5,0.0,116,15044.137254809459,15043.241625844606,15044.137254809459,15043.241625844606,100.0,99.33333333333333,1.972722313015257,1.6741793247310912,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,3,6,0.0,116,15042.872169252843,15045.02911415694,15042.872169252843,15045.02911415694,100.0,99.33333333333333,1.3737785258907649,2.0927601605894206,1,0
