scene_id,scene_name,method,method_label,scenario,scenario_label,n_mc,current_speed_mps,orientation_deg,line_count,path_length_km,path_cost_vs_hybrid_pct,path_gain_vs_fixed_pct,nominal_coverage_pct,nominal_excess_overlap_pct,coverage_pct_mean,coverage_pct_p05,coverage_pct_p50,coverage_pct_p95,excess_overlap_pct_mean,excess_overlap_pct_p50,excess_overlap_pct_p95,feasible_rate,residual_drift_frac_p95
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current-Aware Margin Hybrid,CA-Hybrid,adverse_current,Adverse,300,0.3,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.15324074074074,96.89638888888888,99.61388888888888,99.99444444444444,0.18567962088959514,0.07019382183852582,0.7522030234711822,0.94,0.16937047517279552
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Execution-Risk-Aware Hybrid,ER-Hybrid,mild_current,Mild,300,0.05,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.99664814814815,99.9888888888889,99.99444444444444,100.0,0.003712936059958182,0.0,0.02361350090626233,1.0,0.01826608805574011
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Execution-Risk-Aware Hybrid,ER-Hybrid,cross_current,Cross,300,0.15,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.98062962962962,99.93333333333332,99.9888888888889,100.0,0.010066757170541042,0.0011233186973905675,0.03336595156171978,1.0,0.06975419904773998
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Execution-Risk-Aware Hybrid,ER-Hybrid,adverse_current,Adverse,300,0.3,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.15324074074074,96.89638888888888,99.61388888888888,99.99444444444444,0.18567962088959514,0.07019382183852582,0.7522030234711822,0.94,0.16937047517279552
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Full Geometry-Aware Hybrid GA,Hybrid,mild_current,Mild,300,0.05,135.0,12,72.8691042136253,0.0,25.073646534704757,98.55000000000001,1.5733972802907423,98.52474074074074,98.46111111111111,98.53333333333333,98.57777777777777,1.557847703540191,1.561177581872634,1.707528357169674,1.0,0.018230032788301747
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Full Geometry-Aware Hybrid GA,Hybrid,cross_current,Cross,300,0.15,135.0,12,72.8691042136253,0.0,25.073646534704757,98.55000000000001,1.5733972802907423,98.46409259259259,98.14972222222222,98.49444444444444,98.68361111111112,1.6631488276993658,1.598709550987099,2.2219278777727935,1.0,0.06986400819416061
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Full Geometry-Aware Hybrid GA,Hybrid,adverse_current,Adverse,300,0.3,135.0,12,72.8691042136253,0.0,25.073646534704757,98.55000000000001,1.5733972802907423,98.19105555555555,97.23,98.33611111111111,98.75583333333333,2.0441122745131057,1.7582229808592404,4.115969252129485,0.8366666666666667,0.16960026094498679
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Current/Uncertainty-Margin Hybrid,UA-Hybrid,mild_current,Mild,300,0.05,135.0,12,72.41194694973566,-0.6273677559551507,25.543710317059006,98.69444444444444,1.7552931729886398,98.70222222222223,98.6275,98.7,98.77777777777777,1.7346782100493456,1.7379673398228785,1.8554886660101921,1.0,0.018230032788301747
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Current/Uncertainty-Margin Hybrid,UA-Hybrid,cross_current,Cross,300,0.15,135.0,12,72.41194694973566,-0.6273677559551507,25.543710317059006,98.69444444444444,1.7552931729886398,98.65124074074075,98.28888888888889,98.67777777777778,98.91722222222221,1.7485042122966472,1.7398764449759812,2.1506629588626964,1.0,0.06986400819416061
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Current/Uncertainty-Margin Hybrid,UA-Hybrid,adverse_current,Adverse,300,0.3,135.0,12,72.41194694973566,-0.6273677559551507,25.543710317059006,98.69444444444444,1.7552931729886398,98.31327777777778,96.96611111111112,98.50555555555556,99.08388888888888,1.8922529783066087,1.7312199599294873,3.28766295017736,0.87,0.16960026094498679
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Current-Aware Margin Hybrid,CA-Hybrid,mild_current,Mild,300,0.05,135.0,12,72.11489383660428,-1.0350207885223321,25.84914986915228,98.82777777777778,1.4173866266534898,98.846,98.7611111111111,98.84444444444445,98.93333333333332,1.3992233274505848,1.3974053157893023,1.4855561105431219,1.0,0.018230032788301747
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,Current-Aware Margin Hybrid,CA-Hybrid,cross_current,Cross,300,0.15,135.0,12,72.11489383660428,-1.0350207885223321,25.84914986915228,98.82777777777778,1.4173866266534898,98.78998148148148,98.47777777777777,98.82777777777778,99.0502777777778,1.478793361957091,1.4196198503899873,1.8881224587153094,1.0,0.06986400819416061
