scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,moderate_feasible_rate,moderate_coverage_p05,moderate_overlap_p95,strong_feasible_rate,strong_coverage_p05,strong_overlap_p95,selection_score
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.25,0.3,0,90.0,95,17047.539999999964,100.0,4.999999999999999,0.08333333333333333,98.78277777777778,7.854623432321512,0.03333333333333333,97.36527777777778,10.301282395614964,355.8878598755794
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.25,0.34,0,90.0,95,17047.539999999964,100.0,4.999999999999999,0.08333333333333333,98.78277777777778,7.854623432321512,0.03333333333333333,97.36527777777778,10.301282395614964,355.8878598755794
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.3,0.18,0,90.0,101,18115.31199999996,99.16666666666667,10.000000000000002,0.0,98.25527777777776,13.169435646134193,0.008333333333333333,97.15916666666666,15.223023658302967,507.82268358412136
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.3,0.22,0,90.0,101,18115.31199999996,99.16666666666667,10.000000000000002,0.0,98.25527777777776,13.169435646134193,0.008333333333333333,97.15916666666666,15.223023658302967,507.82268358412136
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.3,0.26,0,90.0,101,18115.31199999996,99.16666666666667,10.000000000000002,0.0,98.25527777777776,13.169435646134193,0.008333333333333333,97.15916666666666,15.223023658302967,507.82268358412136
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.3,0.3,0,90.0,101,18115.31199999996,99.16666666666667,10.000000000000002,0.0,98.25527777777776,13.169435646134193,0.008333333333333333,97.15916666666666,15.223023658302967,507.82268358412136
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.3,0.34,0,90.0,101,18115.31199999996,99.16666666666667,10.000000000000002,0.0,98.25527777777776,13.169435646134193,0.008333333333333333,97.15916666666666,15.223023658302967,507.82268358412136
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.05,0.18,0,0.0,65,5978.135581442896,99.33333333333333,0.0,0.7833333333333333,95.955,0.15551978105849418,0.1,90.05222222222223,2.134596948263729,161.2888888888889
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.05,0.22,0,0.0,65,5978.135581442896,99.33333333333333,0.0,0.7833333333333333,95.955,0.15551978105849418,0.1,90.05222222222223,2.134596948263729,161.2888888888889
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.05,0.26,0,0.0,65,5978.135581442896,99.33333333333333,0.0,0.7833333333333333,95.955,0.15551978105849418,0.1,90.05222222222223,2.134596948263729,161.2888888888889
